episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,5,112
1,0.0,5,128
1,0.0,5,144
1,0.0,5,160
1,0.0,5,176
1,0.0,5,192
1,0.0,5,208
1,0.0,5,224
1,0.0,5,240
1,0.0,5,256
1,0.0,5,272
1,0.0,5,288
1,0.0,5,304
1,1.0,5,320
1,0.0,5,336
1,0.0,5,352
1,0.0,5,368
1,0.0,5,384
1,0.0,5,400
1,0.0,4,416
1,0.0,4,432
1,0.0,4,448
1,0.0,4,464
1,0.0,4,480
1,0.0,4,496
1,0.0,3,512
1,0.0,3,528
1,0.0,3,544
1,0.0,3,560
1,0.0,3,576
1,0.0,3,592
1,0.0,2,608
1,0.0,2,624
1,0.0,2,640
1,0.0,2,656
1,0.0,2,672
1,0.0,2,688
1,0.0,2,704
1,0.0,2,720
1,0.0,2,736
1,0.0,2,752
1,1.0,2,768
1,0.0,2,784
1,0.0,2,800
1,0.0,2,816
1,0.0,2,832
1,0.0,2,848
1,0.0,2,864
1,0.0,2,880
1,0.0,2,896
1,0.0,2,912
1,1.0,2,928
1,0.0,2,944
1,0.0,2,960
1,0.0,2,976
1,0.0,2,992
1,0.0,1,1008
1,0.0,1,1024
1,0.0,1,1040
1,0.0,1,1056
1,0.0,1,1072
1,0.0,1,1088
1,0.0,1,1104
1,0.0,1,1120
1,0.0,1,1136
1,0.0,1,1152
1,0.0,1,1168
1,0.0,1,1184
1,0.0,1,1200
1,0.0,0,1201
2,0.0,5,1217
2,0.0,5,1233
2,0.0,5,1249
2,0.0,5,1265
2,0.0,5,1281
2,0.0,5,1297
2,0.0,5,1313
2,0.0,5,1329
2,0.0,5,1345
2,0.0,5,1361
2,1.0,5,1377
2,0.0,5,1393
2,0.0,5,1409
2,0.0,5,1425
2,0.0,5,1441
2,0.0,5,1457
2,0.0,5,1473
2,0.0,5,1489
2,0.0,4,1505
2,0.0,4,1521
2,0.0,4,1537
