episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,4,112
1,0.0,4,128
1,0.0,4,144
1,0.0,4,160
1,0.0,4,176
1,0.0,4,192
1,0.0,4,208
1,0.0,4,224
1,1.0,4,240
1,0.0,4,256
1,0.0,4,272
1,0.0,4,288
1,0.0,4,304
1,0.0,4,320
1,0.0,4,336
1,0.0,4,352
1,0.0,4,368
1,1.0,4,384
1,0.0,4,400
1,0.0,4,416
1,0.0,4,432
1,0.0,4,448
1,0.0,4,464
1,0.0,4,480
1,0.0,4,496
1,1.0,4,512
1,0.0,4,528
1,0.0,4,544
1,0.0,4,560
1,0.0,4,576
1,0.0,4,592
1,0.0,4,608
1,1.0,4,624
1,0.0,4,640
1,0.0,4,656
1,0.0,4,672
1,0.0,4,688
1,0.0,4,704
1,1.0,4,720
1,0.0,4,736
1,0.0,4,752
1,0.0,4,768
1,0.0,4,784
1,0.0,4,800
1,1.0,4,816
1,0.0,4,832
1,0.0,4,848
1,0.0,4,864
1,0.0,4,880
1,0.0,4,896
1,1.0,4,912
1,0.0,4,928
1,0.0,4,944
1,0.0,4,960
1,0.0,3,976
1,0.0,3,992
1,0.0,3,1008
1,0.0,3,1024
1,0.0,3,1040
1,0.0,3,1056
1,0.0,3,1072
1,0.0,3,1088
1,0.0,3,1104
1,0.0,3,1120
1,1.0,3,1136
1,0.0,3,1152
1,0.0,3,1168
1,0.0,3,1184
1,0.0,3,1200
1,0.0,3,1216
1,0.0,3,1232
1,0.0,3,1248
1,1.0,3,1264
1,0.0,3,1280
1,0.0,3,1296
1,0.0,3,1312
1,0.0,3,1328
1,0.0,2,1344
1,0.0,2,1360
1,0.0,2,1376
1,0.0,2,1392
1,0.0,2,1408
1,0.0,2,1424
1,0.0,2,1440
1,0.0,2,1456
1,0.0,2,1472
1,1.0,2,1488
1,0.0,2,1504
1,0.0,2,1520
1,0.0,2,1536
1,0.0,2,1552
1,0.0,2,1568
1,0.0,2,1584
1,0.0,2,1600
1,0.0,2,1616
1,0.0,2,1632
1,1.0,2,1648
1,0.0,2,1664
1,0.0,2,1680
1,0.0,2,1696
1,0.0,2,1712
1,0.0,2,1728
1,0.0,2,1744
1,0.0,2,1760
1,0.0,2,1776
1,0.0,2,1792
1,0.0,2,1808
1,0.0,2,1824
1,1.0,2,1840
1,0.0,2,1856
1,0.0,2,1872
1,0.0,2,1888
1,0.0,2,1904
1,0.0,2,1920
1,0.0,2,1936
1,0.0,2,1952
1,0.0,2,1968
1,0.0,2,1984
1,4.0,2,2000
1,0.0,2,2016
1,0.0,2,2032
1,0.0,2,2048
1,0.0,1,2064
1,0.0,1,2080
1,0.0,1,2096
1,0.0,1,2112
1,0.0,1,2128
1,0.0,1,2144
1,0.0,1,2160
1,0.0,1,2176
1,0.0,1,2192
1,4.0,1,2208
1,0.0,1,2224
1,0.0,1,2240
1,0.0,1,2256
1,0.0,1,2272
1,0.0,1,2288
1,0.0,1,2304
1,0.0,1,2320
1,0.0,1,2336
1,4.0,1,2352
1,0.0,1,2368
1,0.0,1,2384
1,0.0,1,2400
1,1.0,1,2416
1,0.0,1,2432
1,0.0,0,2445
