episode,total_reward,avg_reward,loss,epsilon,timesteps
1,633.0,3.658959537572254,,,173
2,579.1,0.4380483930302099,,,1322
3,688.1,1.529111056857639,,,450
4,612.0,1.021702838063439,,,599
5,678.0,1.9652173913043478,,,345
6,219.0,4.9772727272727275,,,44
7,249.1,7.326470767750459,,,34
8,581.0,4.762295081967213,,,122
9,212.1,4.328571553132972,,,49
10,225.0,5.625,,,40
11,945.0,1.5168539325842696,,,623
12,639.0,4.468531468531468,,,143
13,631.1,3.448633746371243,,,183
14,716.0,2.0515759312320916,,,349
15,994.0,2.8,,,355
16,216.0,5.023255813953488,,,43
17,768.0,2.0317460317460316,,,378
18,944.1,1.4070044345543034,,,671
19,227.1,4.8319150234790555,,,47
20,210.0,2.9166666666666665,,,72
21,1337.0,2.51789077212806,,,531
22,242.1,7.565625190734863,,,32
23,639.0,4.4375,,,144
24,589.0,4.827868852459017,,,122
25,226.0,5.380952380952381,,,42
26,633.1,3.617714146205357,,,175
27,783.0,4.302197802197802,,,182
28,235.0,5.465116279069767,,,43
29,632.0,3.511111111111111,,,180
30,708.0,1.5526315789473684,,,456
31,901.1,1.0369389822622985,,,869
32,613.0,9.73015873015873,,,63
33,244.1,7.179411944221048,,,34
34,618.0,3.768292682926829,,,164
35,597.0,5.527777777777778,,,108
36,594.0,5.2105263157894735,,,114
37,238.0,5.95,,,40
38,570.1,3.585534437647406,,,159
39,240.0,5.5813953488372094,,,43
40,236.1,6.053846310346555,,,39
41,580.0,5.225225225225225,,,111
42,250.0,7.8125,,,32
43,677.1,1.5709976231692286,,,431
44,635.1,4.097419197328629,,,155
45,635.0,3.8719512195121952,,,164
46,1015.1,3.4527210053943453,,,294
47,1535.0,4.263888888888889,,,360
48,637.0,4.109677419354838,,,155
49,1016.0,4.064,,,250
50,1040.0,4.814814814814815,,,216
51,238.1,7.440625190734863,,,32
52,967.1,1.8778640302639562,,,515
53,936.0,1.3428981348637017,,,697
54,1803.1,5.303235222311581,,,340
55,1030.1,5.1248755004275495,,,201
56,235.0,5.465116279069767,,,43
57,719.0,5.6171875,,,128
58,595.0,4.25,,,140
59,1023.0,3.4444444444444446,,,297
60,1022.0,5.08457711442786,,,201
61,707.1,3.8851647010216346,,,182
62,1603.2,2.4364740899268615,,,658
63,716.0,4.972222222222222,,,144
64,246.0,9.11111111111111,,,27
65,688.1,1.895592219245007,,,363
66,227.0,6.305555555555555,,,36
67,607.0,5.836538461538462,,,104
68,247.0,9.148148148148149,,,27
69,1327.0,8.191358024691358,,,162
70,247.0,7.264705882352941,,,34
71,1084.0,2.2725366876310273,,,477
72,623.0,7.987179487179487,,,78
73,249.1,8.303333536783855,,,30
74,1141.1,6.5205712890625,,,175
75,1280.1,3.3077518748990635,,,387
76,1294.0,4.094936708860759,,,316
77,726.0,4.5375,,,160
78,632.1,7.8037034022955245,,,81
79,232.1,7.253125190734863,,,32
80,1262.1,2.1949564792798912,,,575
81,594.1,5.604716750810731,,,106
82,628.1,6.9021975339114015,,,91
83,596.0,5.418181818181818,,,110
84,1040.0,5.591397849462366,,,186
85,247.1,7.721875190734863,,,32
86,591.1,4.104860941569011,,,144
87,246.1,9.11481504087095,,,27
88,618.0,6.118811881188119,,,101
89,613.0,9.578125,,,64
90,236.1,7.154545639500474,,,33
91,240.1,6.6694446139865455,,,36
92,591.1,6.031632403938138,,,98
93,607.0,6.457446808510638,,,94
94,738.0,3.863874345549738,,,191
95,1299.1,4.883834494683976,,,266
96,804.0,4.1020408163265305,,,196
97,573.0,4.407692307692308,,,130
98,728.0,5.6434108527131785,,,129
99,1043.0,5.730769230769231,,,182
100,1387.1,4.936298845501557,,,281
101,247.0,6.5,,,38
102,615.0,8.661971830985916,,,71
103,236.0,7.151515151515151,,,33
104,639.0,4.564285714285714,,,140
105,243.0,7.363636363636363,,,33
106,591.0,5.5754716981132075,,,106
107,771.1,5.587680982506794,,,138
108,611.1,6.789999728732639,,,90
109,623.0,7.7875,,,80
110,1047.1,7.171917640999572,,,146
111,233.1,5.976923233423477,,,39
112,235.0,6.527777777777778,,,36
113,252.1,8.132258261403729,,,31
114,1393.1,4.014697335982529,,,347
115,639.0,4.468531468531468,,,143
116,753.1,2.820599159497893,,,267
117,616.0,6.285714285714286,,,98
118,606.0,9.46875,,,64
119,246.1,8.203333536783854,,,30
120,250.1,9.262963189019096,,,27
121,235.1,6.717143031529018,,,35
122,635.0,4.703703703703703,,,135
123,637.2,4.164705962137459,,,153
124,640.0,4.705882352941177,,,136
125,251.1,8.658620900121228,,,29
126,629.0,7.962025316455696,,,79
127,734.0,8.436781609195402,,,87
128,248.1,8.555172624259159,,,29
129,233.0,6.6571428571428575,,,35
130,244.1,8.136666870117187,,,30
131,1280.1,3.636647657914595,,,352
132,1439.0,10.580882352941176,,,136
133,653.0,9.19718309859155,,,71
134,651.0,7.843373493975903,,,83
135,611.1,6.642391038977581,,,92
136,816.1,5.871222845941997,,,139
137,649.1,6.832631321957237,,,95
138,589.0,6.135416666666667,,,96
139,608.0,6.681318681318682,,,91
140,253.0,8.724137931034482,,,29
141,622.0,8.293333333333333,,,75
142,1285.0,3.2205513784461153,,,399
143,1418.0,7.706521739130435,,,184
144,626.0,8.694444444444445,,,72
145,248.0,8.266666666666667,,,30
146,250.1,9.262963189019096,,,27
147,1284.0,3.6271186440677967,,,354
148,253.0,8.724137931034482,,,29
149,931.0,1.3112676056338028,,,710
150,1001.0,2.935483870967742,,,341
151,1905.1,5.990880426370873,,,318
152,249.0,9.222222222222221,,,27
153,1314.0,8.477419354838709,,,155
154,245.1,8.17000020345052,,,30
155,1309.1,6.545499877929688,,,200
156,1021.0,4.051587301587301,,,252
157,248.1,9.188889114945024,,,27
158,618.0,9.65625,,,64
159,994.0,2.6226912928759893,,,379
160,1308.2,5.762995379611784,,,227
161,252.0,9.333333333333334,,,27
162,641.0,4.856060606060606,,,132
163,252.0,9.333333333333334,,,27
164,236.0,7.375,,,32
165,607.0,6.526881720430108,,,93
166,252.0,9.333333333333334,,,27
167,245.0,8.448275862068966,,,29
168,252.1,9.33703726309317,,,27
