episode,total_reward,avg_reward,loss,epsilon,timesteps
1,-1517.523,-0.37843465067799253,,,4010
2,-212.01602,-0.7545054154039702,,,281
3,-1464.1198,-0.4409999249929405,,,3320
4,-39.38599,-0.6059383098895733,,,65
5,-35.607986,-0.5743223620999244,,,62
6,-1573.4232,-0.39237486727517146,,,4010
7,-1573.1432,-0.3923050345328086,,,4010
8,-1572.7229,-0.3922002245363155,,,4010
9,-39.781982,-0.6027573094223485,,,66
10,-412.51184,-0.8300037038638078,,,497
11,-266.20807,-0.7946509517840485,,,335
12,-1571.7534,-0.3919584583463217,,,4010
13,-1571.9529,-0.39200819971555484,,,4010
14,-533.2559,-0.8573246308844956,,,622
15,-510.69998,-0.8427392437119688,,,606
16,-462.9597,-0.8432781170843294,,,549
17,-42.61399,-0.6266763350542854,,,68
18,-381.52002,-0.8311982996323529,,,459
19,-1148.391,-0.7168483091204354,,,1602
20,-282.06613,-0.810534860895968,,,348
21,-1572.2234,-0.39207565802291144,,,4010
22,-1571.9731,-0.3920132530003117,,,4010
23,-522.1513,-0.8421795260521674,,,620
24,-44.019997,-0.6379709658415421,,,69
25,-1570.5427,-0.39165653980283666,,,4010
26,-1571.3129,-0.3918485950650717,,,4010
27,-36.263992,-0.5756189255487352,,,63
28,-118.89001,-0.6461413424947987,,,184
29,-243.03003,-0.7739809850218949,,,314
30,-1572.0333,-0.3920282606472101,,,4010
31,-34.41799,-0.555128897390058,,,62
32,-1571.8334,-0.3919783975120792,,,4010
33,-60.081997,-0.723879480936441,,,83
34,-72.64201,-0.5263914025348165,,,138
35,-1424.1923,-0.38336265430476113,,,3715
36,-623.32983,-0.8105719557664174,,,769
37,-382.4515,-0.8296128146819075,,,461
38,-1550.313,-0.38661171777587283,,,4010
39,-1572.8135,-0.39222281211034915,,,4010
40,-90.88995,-0.5826279077774439,,,156
41,-295.39175,-0.8182597067877857,,,361
42,-1572.313,-0.3920980020651496,,,4010
43,-667.93427,-0.8401688869644262,,,795
44,-1008.74,-0.6961628642059179,,,1449
45,-498.70364,-0.8069638249171976,,,618
46,-43.163986,-0.634764503030216,,,68
47,-87.20001,-0.5554140904906449,,,157
48,-84.31003,-0.5439356650075605,,,155
49,-328.28735,-0.7760930343158984,,,423
50,-1020.25006,-0.7535081691544728,,,1354
51,-261.98618,-0.7914990197495752,,,331
52,-45.353996,-0.6387886799557109,,,71
53,-1572.2334,-0.3920781542238155,,,4010
54,-418.03375,-0.84451263119476,,,495
55,-415.25586,-0.7955093091475096,,,522
56,-728.23193,-0.8200810062992681,,,888
57,-60.822,-0.732795163809535,,,83
58,-196.37804,-0.7063958147446886,,,278
59,-1164.5582,-0.6810282032392179,,,1710
60,-253.66214,-0.7804988919771635,,,325
61,-263.5278,-0.7866501537721549,,,335
62,-338.25946,-0.7977817463424971,,,424
63,-231.89993,-0.7678805723885037,,,302
64,-1196.0724,-0.7068985742880097,,,1692
65,-40.877983,-0.6101191506456973,,,67
66,-34.971985,-0.5733112272669058,,,61
67,-1550.8324,-0.38674124624961037,,,4010
68,-52.014,-0.6843947360390111,,,76
69,-1129.9495,-0.6631158819780664,,,1704
70,-232.35008,-0.7668319551071318,,,303
71,-137.29994,-0.6730389314539292,,,204
72,-29.529991,-0.5273212705339704,,,56
73,-551.4153,-0.8144982026634048,,,677
74,-44.15199,-0.630742699759347,,,70
75,-135.77998,-0.6823114749774262,,,199
76,-57.583984,-0.7022437118902439,,,82
77,-384.77365,-0.8310446028575527,,,463
78,-167.42819,-0.7279486614724864,,,230
79,-54.569984,-0.6907592966586729,,,79
80,-54.377995,-0.6971537761199169,,,78
81,-776.8171,-0.7676058079414216,,,1012
82,-244.81207,-0.787177082809988,,,311
83,-473.95718,-0.6076374151767828,,,780
84,-35.851986,-0.5877374742851883,,,61
85,-509.85953,-0.8105874842414795,,,629
86,-1357.5413,-0.6065868006101989,,,2238
87,-30.71999,-0.5389471890633566,,,57
88,-136.92003,-0.6711766112084482,,,204
89,-282.33014,-0.804359370826656,,,351
90,-61.155983,-0.7111160810603652,,,86
91,-736.24963,-0.8055247634453638,,,914
92,-410.07797,-0.7510585575313359,,,546
93,-119.98999,-0.6521195121433424,,,184
94,-32.98999,-0.5591523768538136,,,59
95,-866.9391,-0.7224492390950521,,,1200
96,-913.51294,-0.7159192315463362,,,1276
97,-173.89001,-0.658674297910748,,,264
98,-52.53599,-0.6822856060870282,,,77
99,-1268.6176,-0.637176069166719,,,1991
100,-192.81993,-0.7502721051761613,,,257
101,-1189.6913,-0.6736643738276826,,,1766
102,-819.3702,-0.8080573749730338,,,1014
103,-39.715992,-0.6110152611365685,,,65
104,-994.23956,-0.733756135046702,,,1355
105,-141.77989,-0.6849270143370697,,,207
106,-244.95006,-0.7800957260617785,,,314
107,-324.41763,-0.8297126165131474,,,391
108,-29.41999,-0.5253569739205497,,,56
109,-224.43011,-0.7633677372316114,,,294
110,-121.385994,-0.6526128707393524,,,186
111,-36.463985,-0.5787934197319878,,,63
112,-44.239994,-0.6411593340445256,,,69
113,-252.884,-0.7952327128476316,,,318
114,-34.421993,-0.5642949714035285,,,61
115,-36.04799,-0.581419175670993,,,62
116,-35.27799,-0.5689998134489982,,,62
117,-29.30999,-0.5233926773071289,,,56
118,-34.091988,-0.5588850427846439,,,61
119,-30.939995,-0.5428069265265214,,,57
120,-256.78,-0.7357593088232002,,,349
121,-591.6615,-0.7774789737495894,,,761
122,-191.72992,-0.7518820369944853,,,255
123,-40.461994,-0.6130605177445845,,,66
124,-326.43002,-0.7158553140205249,,,456
125,-657.3509,-0.7369404608893287,,,892
126,-32.54999,-0.5516947730112884,,,59
127,-159.64607,-0.7032866625008604,,,227
128,-82.30002,-0.5414474888851768,,,152
129,-39.801987,-0.6030604044596354,,,66
130,-1314.591,-0.6044096286817529,,,2175
131,-1551.1334,-0.38681631492557667,,,4010
132,-526.7676,-0.8217902934867395,,,641
133,-237.59998,-0.7739412885535424,,,307
134,-276.92975,-0.7713920572009924,,,359
135,-32.98999,-0.5591523768538136,,,59
136,-118.14601,-0.652740394212923,,,181
137,-219.81604,-0.7685875525841346,,,286
138,-44.789993,-0.6491303374801857,,,69
139,-44.319996,-0.6423187808714051,,,69
140,-443.11172,-0.823627741363412,,,538
141,-35.277985,-0.568999751921623,,,62
142,-30.609987,-0.5370173203317743,,,57
143,-45.971996,-0.6567428043910435,,,70
144,-410.2657,-0.7966324000682645,,,515
145,-340.31006,-0.6752183702256944,,,504
146,-30.939987,-0.5428067926774945,,,57
147,-428.29758,-0.811169653227835,,,528
148,-432.27,-0.6166476305473207,,,701
149,-389.08783,-0.8139912752925601,,,478
150,-34.00599,-0.5667664845784505,,,60
151,-182.24387,-0.6724865902833833,,,271
152,-138.29001,-0.6745854075362042,,,205
153,-41.951996,-0.6356363007516572,,,66
154,-299.09772,-0.7768771877536526,,,385
155,-32.87999,-0.5572879597292109,,,59
156,-361.13986,-0.7954622512346847,,,454
157,-34.20199,-0.5606883314789318,,,61
158,-30.389988,-0.5331576832553797,,,57
159,-102.109955,-0.6042009161774223,,,169
160,-463.13983,-0.8068638180191093,,,574
161,-103.20196,-0.6070703394272748,,,170
162,-228.32811,-0.7713787491257126,,,296
163,-29.749989,-0.5312497956412179,,,56
164,-118.01599,-0.6520220508891574,,,181
165,-34.20199,-0.5606883314789318,,,61
166,-95.58993,-0.5828654126423162,,,164
167,-416.74985,-0.7536163606005595,,,553
168,-481.80762,-0.7159102781389302,,,673
169,-33.34599,-0.555766487121582,,,60
170,-238.46002,-0.771715281464907,,,309
171,-52.516006,-0.6820260580483969,,,77
172,-234.39993,-0.7710524107280531,,,304
173,-662.29974,-0.7773471169628448,,,852
174,-122.39201,-0.6510213486691738,,,188
175,-380.2701,-0.6839390487122021,,,556
176,-244.43994,-0.7784711509753185,,,314
177,-305.86417,-0.653555910811465,,,468
178,-257.16998,-0.7326780139890492,,,351
179,-837.51917,-0.6599835815910658,,,1269
180,-376.42416,-0.7908070668452928,,,476
181,-319.92587,-0.7141202517918178,,,448
182,-503.22928,-0.7694637286918243,,,654
183,-214.68005,-0.7559156820807659,,,284
184,-344.39587,-0.7296522754733845,,,472
185,-38.615986,-0.5940920903132512,,,65
186,-75.38597,-0.5271746228624891,,,143
187,-301.8016,-0.760205554721938,,,397
188,-469.27353,-0.6801065638445426,,,690
189,-36.467987,-0.5881933396862399,,,62
190,-30.829988,-0.5408769908704256,,,57
191,-341.0398,-0.6687054802389706,,,510
192,-32.019985,-0.5520687103271484,,,58
193,-370.28162,-0.6882557922136385,,,538
194,-490.7932,-0.7196381420683651,,,682
195,-72.66596,-0.5081535819527152,,,143
196,-40.351994,-0.6113938418301669,,,66
197,-324.73215,-0.6654347279032723,,,488
198,-490.00977,-0.8139697103405316,,,602
199,-37.783985,-0.5997457958403087,,,63
200,-285.0418,-0.7788027570547302,,,366
201,-39.80198,-0.6030602888627485,,,66
202,-229.2601,-0.7667561917001986,,,299
203,-30.829988,-0.5408769908704256,,,57
204,-101.74992,-0.6020705544736964,,,169
205,-252.65392,-0.7323301895805027,,,345
206,-125.05,-0.6445876445966897,,,194
207,-652.91907,-0.7246604521451859,,,901
208,-171.16382,-0.5250423876054447,,,326
209,-32.98999,-0.5591523768538136,,,59
210,-109.42793,-0.6079329596625433,,,180
211,-307.7966,-0.652111441402112,,,472
212,-45.221992,-0.6460284641810826,,,70
213,-195.94597,-0.7073861683318762,,,277
214,-30.49999,-0.535087551986962,,,57
