episode,total_reward,avg_reward,loss,epsilon,timesteps
1,-1074.3121,-0.2679082627902899,,,4010
2,697.88586,2.4835795881060942,,,281
3,-661.72046,-0.1993133912603539,,,3320
4,303.33597,4.666707200270433,,,65
5,343.7281,5.54400142546623,,,62
6,-1202.9996,-0.2999999086755767,,,4010
7,-1239.6797,-0.3091470542394015,,,4010
8,-1242.9794,-0.30996991773495947,,,4010
9,334.31195,5.065332586115057,,,66
10,379.74203,0.7640684807084696,,,497
11,635.1679,1.8960236051189365,,,335
12,-1291.6205,-0.32209987117168015,,,4010
13,-1207.3202,-0.3010773542218672,,,4010
14,379.51645,0.6101550626601437,,,622
15,475.8198,0.7851811777247061,,,606
16,552.8192,1.006956673710724,,,549
17,270.86395,3.983293421128217,,,68
18,592.8403,1.2915910043487882,,,459
19,172.74005,0.10782774735925796,,,1602
20,484.55643,1.3924035258676815,,,348
21,-1312.6,-0.32733166473464775,,,4010
22,-1269.2407,-0.31651888345542395,,,4010
23,323.69202,0.5220838977444556,,,620
24,258.57996,3.747535594995471,,,69
25,-1362.0597,-0.3396657586989557,,,4010
26,-1373.9004,-0.34261855127805485,,,4010
27,319.58408,5.072763109964038,,,63
28,728.9597,3.9617375912873642,,,184
29,564.42523,1.9198137140598426,,,294
30,250.53998,3.6310141743093296,,,69
31,354.24512,6.107674434267241,,,58
32,-910.70044,-0.22710734150950748,,,4010
33,163.25203,1.8551366979425603,,,88
34,-1134.7599,-0.28298251563474125,,,4010
35,657.53925,1.9805398964020142,,,332
36,482.97186,0.8284251505882826,,,583
37,390.22018,0.20734334980136657,,,1882
38,-1103.3602,-0.2751521769307201,,,4010
39,587.3795,0.6302355328342946,,,932
40,364.68512,6.287674476360452,,,58
41,356.8901,6.261229933353892,,,57
42,594.01636,1.4076217000518365,,,422
43,-749.0611,-0.22453869789910258,,,3336
44,-1213.56,-0.3026334310707606,,,4010
45,-928.3408,-0.24378698012408087,,,3808
46,249.08401,3.663000219008502,,,68
47,255.80392,3.761822420008042,,,68
48,436.66525,1.247615007672991,,,350
49,452.73218,1.024280945100396,,,442
50,362.84015,6.14983303264036,,,59
51,1094.5013,1.0966947322379133,,,998
52,624.9264,2.132854578844923,,,293
53,421.98172,0.5820437516837285,,,725
54,344.41614,5.740268961588542,,,60
55,397.72165,0.4138622780124057,,,961
56,-252.86021,-0.07552575096577015,,,3348
57,789.2248,1.738380600177244,,,454
58,-1030.2592,-0.2569224826118298,,,4010
59,-162.90024,-0.09945069477235005,,,1638
60,756.57104,5.563022389131434,,,136
61,433.42035,0.42998050508045016,,,1008
62,789.1911,2.9014378715963924,,,272
63,830.6592,0.8912652142569742,,,932
64,709.96796,2.60061522543212,,,273
65,890.0717,6.054909634752338,,,147
66,-726.16016,-0.2006521570185134,,,3619
67,629.2048,0.8192770481109619,,,768
68,342.8301,6.014563309518914,,,57
69,629.2876,2.1625003355884878,,,291
70,-30.119965,-0.017420453788091022,,,1729
71,742.01056,1.0769384021509887,,,689
72,138.36002,0.058751599095176486,,,2355
73,1871.8182,1.8085200360431763,,,1035
74,625.72894,3.2933102256373354,,,190
75,930.20044,0.9853818214545815,,,944
76,665.7302,3.9392320982803253,,,169
77,612.75977,3.033464186262376,,,202
78,338.7201,5.741018521583687,,,59
79,342.9051,5.912156729862608,,,58
80,647.78864,2.2337539146686423,,,290
81,756.1478,2.7005279541015623,,,280
82,990.49994,6.308916808693272,,,157
83,565.3862,0.609909633731122,,,927
84,610.6801,1.9763110509582322,,,309
85,627.0865,0.7117894288494964,,,881
86,303.87592,4.675014085036057,,,65
87,695.98804,0.9469224994685375,,,735
