episode,total_reward,avg_reward,loss,epsilon,timesteps
1,703.7348,4.0678312268560335,,,173
2,704.8819,0.533193568057985,,,1322
3,773.9484,1.7198853895399306,,,450
4,827.08203,1.5231713282688766,,,543
5,1257.8865,0.938021233862323,,,1341
6,1055.5264,1.6139546898891437,,,654
7,658.7344,3.8077131502890174,,,173
8,704.5147,4.487354837405454,,,157
9,692.2793,3.0905325753348216,,,224
10,1216.2427,2.696768682441796,,,451
11,892.9997,4.961109415690104,,,180
12,1102.0927,2.748360726601465,,,401
13,793.379,2.7935881278884245,,,284
14,704.2197,4.514229016426282,,,156
15,702.6251,7.396053916529605,,,95
16,669.3552,9.70080035665761,,,69
17,1106.0931,3.0639699159236495,,,361
18,1070.537,1.8715681596235796,,,572
19,248.7751,5.5283355712890625,,,45
20,261.01508,7.054461504961993,,,37
21,872.8842,3.084396524058635,,,283
22,258.5001,6.462502288818359,,,40
23,672.73517,9.215550252836044,,,73
24,679.70514,6.8657084763652145,,,99
25,1464.7931,6.077979629959803,,,241
26,671.47015,10.173790209221117,,,66
27,1114.7227,2.3467845394736844,,,475
28,1110.7323,2.6894244547328996,,,413
29,1454.173,6.462990993923611,,,225
30,712.67017,6.723303452977595,,,106
31,268.41507,7.254461340002112,,,37
32,653.9198,5.6372396534886855,,,116
33,240.07007,5.218914529551631,,,46
34,272.72504,7.792143903459821,,,35
35,815.1545,4.823399289825259,,,169
36,262.00003,6.550000762939453,,,40
37,681.75995,7.747272144664418,,,88
38,1096.4186,2.7687337856100065,,,396
39,671.97003,6.339339922059257,,,106
40,276.04004,8.626251220703125,,,32
41,653.7899,6.409705068550858,,,102
42,1099.9778,2.5942872245356723,,,424
43,707.6346,4.625062630846609,,,153
44,1137.9138,4.801324128098629,,,237
45,664.44995,6.0404541015625,,,110
46,689.71515,7.110465452843106,,,97
47,265.0301,7.795002656824448,,,34
48,1477.9429,7.737920791066754,,,191
49,1459.6826,6.545661960482063,,,223
50,256.39514,6.2535400390625,,,41
51,273.93005,8.056766285615808,,,34
52,703.55975,4.187855675106957,,,168
53,671.11017,5.687374308957892,,,118
54,1138.5084,5.750042539654356,,,198
55,669.385,4.68101405430507,,,143
56,835.1994,2.7839980061848957,,,300
57,250.88512,5.834537594817405,,,43
58,1333.4642,1.5761988574449617,,,846
59,1471.9126,7.4716375515545685,,,197
60,834.22974,4.300153280041881,,,194
61,856.3984,2.2536799380653783,,,380
62,257.69003,6.135476975213914,,,42
63,829.24695,1.5077217240767045,,,550
64,816.13934,3.000512291403378,,,272
65,254.18506,5.9112804324127906,,,43
66,1136.3334,3.0464701716446045,,,373
67,251.88005,5.724546605890447,,,44
68,264.19006,6.290239606584821,,,42
69,276.3401,8.635627746582031,,,32
70,895.59985,5.597499084472656,,,160
71,1446.2965,4.01749030219184,,,360
72,690.7601,7.849546259099787,,,88
73,1458.3882,7.219743483137377,,,202
74,272.9451,8.804680608933971,,,31
75,278.3451,8.978873960433468,,,31
76,794.74414,3.1663113172310755,,,251
77,684.38025,6.5805793175330525,,,104
78,684.36505,6.39593505859375,,,107
79,266.23508,8.067729603160512,,,33
80,858.50006,6.132143293108259,,,140
81,1435.5269,4.297984597211826,,,334
82,1379.0698,1.851100435192953,,,745
83,668.85504,6.136284784439507,,,109
84,261.91006,6.892370123612253,,,38
85,681.99023,6.686178768382353,,,102
86,1068.3071,1.848282229941609,,,578
87,1101.9728,2.592877125459559,,,425
88,669.62006,5.77258669096848,,,116
89,1188.4727,2.2637574404761907,,,525
90,273.33508,8.282881303267045,,,33
91,668.6298,5.865173875239858,,,114
92,672.61005,5.700085138870498,,,118
