episode,reward,lives,frame_number
1,0.0,5,16
1,0.0,5,32
1,0.0,5,48
1,0.0,5,64
1,0.0,5,80
1,0.0,5,96
1,0.0,5,112
1,1.0,5,128
1,0.0,5,144
1,0.0,5,160
1,0.0,5,176
1,0.0,5,192
1,0.0,5,208
1,0.0,5,224
1,0.0,5,240
1,0.0,5,256
1,1.0,5,272
1,0.0,5,288
1,0.0,5,304
1,0.0,5,320
1,0.0,5,336
1,0.0,5,352
1,0.0,5,368
1,0.0,5,384
1,1.0,5,400
1,0.0,5,416
1,0.0,5,432
1,0.0,5,448
1,0.0,5,464
1,0.0,5,480
1,1.0,5,496
1,0.0,5,512
1,0.0,5,528
1,0.0,5,544
1,0.0,4,560
1,0.0,4,576
1,0.0,4,592
1,0.0,4,608
1,0.0,4,624
1,0.0,4,640
1,0.0,4,656
1,0.0,4,672
1,0.0,4,688
1,1.0,4,704
1,0.0,4,720
1,0.0,4,736
1,0.0,4,752
1,0.0,4,768
1,0.0,4,784
1,0.0,4,800
1,0.0,4,816
1,1.0,4,832
1,0.0,4,848
1,0.0,4,864
1,0.0,4,880
1,0.0,4,896
1,0.0,4,912
1,0.0,4,928
1,0.0,4,944
1,1.0,4,960
1,0.0,4,976
1,0.0,4,992
1,0.0,4,1008
1,0.0,4,1024
1,0.0,3,1040
1,0.0,3,1056
1,0.0,3,1072
1,0.0,3,1088
1,0.0,3,1104
1,0.0,3,1120
1,0.0,3,1136
1,0.0,2,1152
1,0.0,2,1168
1,0.0,2,1184
1,0.0,2,1200
1,0.0,2,1216
1,0.0,2,1232
1,0.0,2,1248
1,0.0,2,1264
1,0.0,2,1280
1,4.0,2,1296
1,0.0,2,1312
1,0.0,2,1328
1,0.0,2,1344
1,0.0,2,1360
1,0.0,2,1376
1,0.0,2,1392
1,0.0,2,1408
1,1.0,2,1424
1,0.0,2,1440
1,0.0,2,1456
1,0.0,2,1472
1,0.0,2,1488
1,0.0,2,1504
1,0.0,2,1520
1,0.0,2,1536
1,0.0,2,1552
1,4.0,2,1568
1,0.0,2,1584
1,0.0,2,1600
1,0.0,2,1616
1,0.0,2,1632
1,0.0,2,1648
1,0.0,2,1664
1,0.0,2,1680
1,4.0,2,1696
1,0.0,2,1712
1,0.0,2,1728
1,0.0,2,1744
1,0.0,2,1760
1,0.0,2,1776
1,1.0,2,1792
1,0.0,2,1808
1,0.0,2,1824
1,0.0,2,1840
1,0.0,2,1856
1,0.0,2,1872
1,1.0,2,1888
1,0.0,2,1904
1,0.0,2,1920
1,0.0,2,1936
1,0.0,2,1952
1,0.0,2,1968
1,1.0,2,1984
1,0.0,2,2000
1,0.0,2,2016
1,0.0,2,2032
1,0.0,2,2048
1,0.0,2,2064
1,0.0,2,2080
1,0.0,2,2096
1,0.0,2,2112
1,1.0,2,2128
1,0.0,2,2144
1,0.0,2,2160
1,0.0,2,2176
1,0.0,2,2192
1,0.0,2,2208
1,0.0,2,2224
1,0.0,2,2240
1,0.0,2,2256
1,0.0,1,2272
1,0.0,1,2288
1,0.0,1,2304
1,0.0,1,2320
1,0.0,1,2336
1,0.0,1,2352
1,0.0,1,2368
1,0.0,1,2384
1,0.0,1,2400
1,0.0,1,2416
1,4.0,1,2432
1,0.0,1,2448
1,0.0,1,2464
1,0.0,1,2480
1,7.0,1,2496
1,0.0,1,2512
1,0.0,1,2528
1,0.0,1,2544
1,0.0,1,2560
1,4.0,1,2576
1,0.0,1,2592
1,0.0,1,2608
1,0.0,1,2624
1,1.0,1,2640
1,0.0,1,2656
1,0.0,1,2672
1,0.0,1,2688
1,4.0,1,2704
1,0.0,1,2720
1,0.0,1,2736
1,1.0,1,2752
1,0.0,1,2768
1,0.0,1,2784
1,0.0,0,2791
